2020-10-26 16:55:08,677 INFO    MainThread:23720 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_165508-2atzwo2o\logs\debug.log
2020-10-26 16:55:08,678 INFO    MainThread:23720 [wandb_init.py:_log_setup():294] Logging internal logs to wandb\run-20201026_165508-2atzwo2o\logs\debug-internal.log
2020-10-26 16:55:08,678 INFO    MainThread:23720 [wandb_setup.py:_flush():69] setting env: {}
2020-10-26 16:55:08,678 INFO    MainThread:23720 [wandb_setup.py:_flush():69] setting user settings: {'email': 'leshhuk3@gmail.com'}
2020-10-26 16:55:08,678 INFO    MainThread:23720 [wandb_setup.py:_flush():69] multiprocessing start_methods=spawn
2020-10-26 16:55:10,360 INFO    MainThread:23720 [wandb_run.py:_console_start():1290] atexit reg
2020-10-26 16:55:10,361 INFO    MainThread:23720 [wandb_run.py:_redirect():1160] redirect: SettingsConsole.WRAP
2020-10-26 16:55:10,361 INFO    MainThread:23720 [wandb_run.py:_redirect():1191] Wrapping output streams.
2020-10-26 16:55:10,361 INFO    MainThread:23720 [wandb_run.py:_redirect():1207] Redirects installed.
2020-10-26 16:55:10,361 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set learning_rate = 0.13577938253571312 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,361 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.13577938253571312 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312}
2020-10-26 16:55:10,361 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set depth = 9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
2020-10-26 16:55:10,361 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb depth 9 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.13577938253571312, 'depth': 9}
2020-10-26 16:55:10,362 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set l2_leaf_reg = 13.73605834503891 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5453BB80>>
