2020-10-26 15:13:01,559 INFO    MainThread:12940 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_151301-2ul6xs4i\logs\debug.log
2020-10-26 15:13:01,560 INFO    MainThread:12940 [wandb_init.py:_log_setup():294] Logging internal logs to wandb\run-20201026_151301-2ul6xs4i\logs\debug-internal.log
2020-10-26 15:13:01,560 INFO    MainThread:12940 [wandb_setup.py:_flush():69] setting env: {}
2020-10-26 15:13:01,560 INFO    MainThread:12940 [wandb_setup.py:_flush():69] setting user settings: {'email': 'leshhuk3@gmail.com'}
2020-10-26 15:13:01,560 INFO    MainThread:12940 [wandb_setup.py:_flush():69] multiprocessing start_methods=spawn
2020-10-26 15:13:03,252 INFO    MainThread:12940 [wandb_run.py:_console_start():1290] atexit reg
2020-10-26 15:13:03,253 INFO    MainThread:12940 [wandb_run.py:_redirect():1160] redirect: SettingsConsole.WRAP
2020-10-26 15:13:03,253 INFO    MainThread:12940 [wandb_run.py:_redirect():1191] Wrapping output streams.
2020-10-26 15:13:03,253 INFO    MainThread:12940 [wandb_run.py:_redirect():1207] Redirects installed.
2020-10-26 15:13:03,253 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set boosting_type = dart - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,253 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb boosting_type dart {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart'}
2020-10-26 15:13:03,253 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set class_weight = {0: 1, 1: 3} - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,253 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb class_weight {0: 1, 1: 3} {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}}
2020-10-26 15:13:03,253 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bytree = 1.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,254 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bytree 1.0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0}
2020-10-26 15:13:03,254 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set importance_type = split - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,254 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb importance_type split {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split'}
2020-10-26 15:13:03,254 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set learning_rate = 0.06094395035517471 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,254 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.06094395035517471 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471}
2020-10-26 15:13:03,255 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set max_depth = -1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,255 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb max_depth -1 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1}
2020-10-26 15:13:03,255 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_child_samples = 23 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,255 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_child_samples 23 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23}
2020-10-26 15:13:03,255 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_child_weight = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,256 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_child_weight 0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23, 'min_child_weight': 0}
2020-10-26 15:13:03,256 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_split_gain = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,256 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_split_gain 0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23, 'min_child_weight': 0, 'min_split_gain': 0}
2020-10-26 15:13:03,256 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set n_estimators = 163 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,256 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb n_estimators 163 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 163}
2020-10-26 15:13:03,257 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set n_jobs = -1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,257 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb n_jobs -1 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 163, 'n_jobs': -1}
2020-10-26 15:13:03,257 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set num_leaves = 17 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,257 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb num_leaves 17 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 163, 'n_jobs': -1, 'num_leaves': 17}
2020-10-26 15:13:03,258 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set objective = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,258 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb objective None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 163, 'n_jobs': -1, 'num_leaves': 17, 'objective': None}
2020-10-26 15:13:03,258 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set random_state = 2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,258 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb random_state 2 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 163, 'n_jobs': -1, 'num_leaves': 17, 'objective': None, 'random_state': 2}
2020-10-26 15:13:03,259 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set reg_alpha = 0.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E8870460>>
2020-10-26 15:13:03,259 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb reg_alpha 0.0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 3}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.06094395035517471, 'max_depth': -1, 'min_child_samples': 23, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 163, 'n_jobs': -1, 'num_leaves': 17, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0}
