2020-10-26 12:18:27,543 INFO    MainThread:12940 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_121827-xv677h8z\logs\debug.log
2020-10-26 12:18:27,544 INFO    MainThread:12940 [wandb_init.py:_log_setup():294] Logging internal logs to wandb\run-20201026_121827-xv677h8z\logs\debug-internal.log
2020-10-26 12:18:27,544 INFO    MainThread:12940 [wandb_setup.py:_flush():69] setting env: {}
2020-10-26 12:18:27,544 INFO    MainThread:12940 [wandb_setup.py:_flush():69] setting user settings: {'email': 'leshhuk3@gmail.com'}
2020-10-26 12:18:27,544 INFO    MainThread:12940 [wandb_setup.py:_flush():69] multiprocessing start_methods=spawn
2020-10-26 12:18:29,255 INFO    MainThread:12940 [wandb_run.py:_console_start():1290] atexit reg
2020-10-26 12:18:29,255 INFO    MainThread:12940 [wandb_run.py:_redirect():1160] redirect: SettingsConsole.WRAP
2020-10-26 12:18:29,255 INFO    MainThread:12940 [wandb_run.py:_redirect():1191] Wrapping output streams.
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_run.py:_redirect():1207] Redirects installed.
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set objective = binary:logistic - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb objective binary:logistic {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic'}
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set base_score = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb base_score None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None}
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set booster = dart - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb booster dart {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart'}
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bylevel = 0.25284156684067016 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,256 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bylevel 0.25284156684067016 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016}
2020-10-26 12:18:29,257 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bynode = 0.2804200437217761 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,257 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bynode 0.2804200437217761 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016, 'colsample_bynode': 0.2804200437217761}
2020-10-26 12:18:29,257 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bytree = 0.6756845127836436 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,257 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bytree 0.6756845127836436 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016, 'colsample_bynode': 0.2804200437217761, 'colsample_bytree': 0.6756845127836436}
2020-10-26 12:18:29,258 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set gamma = 61.38824795148334 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,258 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb gamma 61.38824795148334 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016, 'colsample_bynode': 0.2804200437217761, 'colsample_bytree': 0.6756845127836436, 'gamma': 61.38824795148334}
2020-10-26 12:18:29,258 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set gpu_id = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,258 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb gpu_id None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016, 'colsample_bynode': 0.2804200437217761, 'colsample_bytree': 0.6756845127836436, 'gamma': 61.38824795148334, 'gpu_id': None}
2020-10-26 12:18:29,259 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set importance_type = gain - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,259 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb importance_type gain {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016, 'colsample_bynode': 0.2804200437217761, 'colsample_bytree': 0.6756845127836436, 'gamma': 61.38824795148334, 'gpu_id': None, 'importance_type': 'gain'}
2020-10-26 12:18:29,259 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set interaction_constraints = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,259 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb interaction_constraints None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016, 'colsample_bynode': 0.2804200437217761, 'colsample_bytree': 0.6756845127836436, 'gamma': 61.38824795148334, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None}
2020-10-26 12:18:29,259 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set learning_rate = 0.008918685603914844 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,259 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.008918685603914844 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016, 'colsample_bynode': 0.2804200437217761, 'colsample_bytree': 0.6756845127836436, 'gamma': 61.38824795148334, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.008918685603914844}
2020-10-26 12:18:29,260 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set max_delta_step = 4.912457969413286 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E21079A0>>
2020-10-26 12:18:29,260 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb max_delta_step 4.912457969413286 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.25284156684067016, 'colsample_bynode': 0.2804200437217761, 'colsample_bytree': 0.6756845127836436, 'gamma': 61.38824795148334, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.008918685603914844, 'max_delta_step': 4.912457969413286}
