2020-10-26 17:33:22,203 INFO    MainThread:23720 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_173322-23tsc8hb\logs\debug.log
2020-10-26 17:33:22,204 INFO    MainThread:23720 [wandb_init.py:_log_setup():294] Logging internal logs to wandb\run-20201026_173322-23tsc8hb\logs\debug-internal.log
2020-10-26 17:33:22,204 INFO    MainThread:23720 [wandb_setup.py:_flush():69] setting env: {}
2020-10-26 17:33:22,204 INFO    MainThread:23720 [wandb_setup.py:_flush():69] setting user settings: {'email': 'leshhuk3@gmail.com'}
2020-10-26 17:33:22,204 INFO    MainThread:23720 [wandb_setup.py:_flush():69] multiprocessing start_methods=spawn
2020-10-26 17:33:23,888 INFO    MainThread:23720 [wandb_run.py:_console_start():1290] atexit reg
2020-10-26 17:33:23,894 INFO    MainThread:23720 [wandb_run.py:_redirect():1160] redirect: SettingsConsole.WRAP
2020-10-26 17:33:23,894 INFO    MainThread:23720 [wandb_run.py:_redirect():1191] Wrapping output streams.
2020-10-26 17:33:23,894 INFO    MainThread:23720 [wandb_run.py:_redirect():1207] Redirects installed.
2020-10-26 17:33:23,894 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set learning_rate = 0.9013605907116514 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,894 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.9013605907116514 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514}
2020-10-26 17:33:23,895 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set depth = 4 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,895 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb depth 4 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4}
2020-10-26 17:33:23,895 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set l2_leaf_reg = 11.12305238256576 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,895 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb l2_leaf_reg 11.12305238256576 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576}
2020-10-26 17:33:23,895 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set random_seed = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,895 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb random_seed 32 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576, 'random_seed': 32}
2020-10-26 17:33:23,896 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set verbose = False - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
2020-10-26 17:33:23,896 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb verbose False {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.9013605907116514, 'depth': 4, 'l2_leaf_reg': 11.12305238256576, 'random_seed': 32, 'verbose': False}
2020-10-26 17:33:23,896 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set random_strength = 14.788506672478013 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C5498CEB0>>
