2020-10-26 14:50:25,718 INFO    MainThread:12940 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_145025-2c1t3qcc\logs\debug.log
2020-10-26 14:50:25,719 INFO    MainThread:12940 [wandb_init.py:_log_setup():294] Logging internal logs to wandb\run-20201026_145025-2c1t3qcc\logs\debug-internal.log
2020-10-26 14:50:25,719 INFO    MainThread:12940 [wandb_setup.py:_flush():69] setting env: {}
2020-10-26 14:50:25,719 INFO    MainThread:12940 [wandb_setup.py:_flush():69] setting user settings: {'email': 'leshhuk3@gmail.com'}
2020-10-26 14:50:25,719 INFO    MainThread:12940 [wandb_setup.py:_flush():69] multiprocessing start_methods=spawn
2020-10-26 14:50:27,401 INFO    MainThread:12940 [wandb_run.py:_console_start():1290] atexit reg
2020-10-26 14:50:27,407 INFO    MainThread:12940 [wandb_run.py:_redirect():1160] redirect: SettingsConsole.WRAP
2020-10-26 14:50:27,407 INFO    MainThread:12940 [wandb_run.py:_redirect():1191] Wrapping output streams.
2020-10-26 14:50:27,407 INFO    MainThread:12940 [wandb_run.py:_redirect():1207] Redirects installed.
2020-10-26 14:50:27,407 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set boosting_type = dart - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,407 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb boosting_type dart {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart'}
2020-10-26 14:50:27,407 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set class_weight = {0: 1, 1: 85} - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,407 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb class_weight {0: 1, 1: 85} {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}}
2020-10-26 14:50:27,408 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bytree = 1.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,408 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bytree 1.0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0}
2020-10-26 14:50:27,408 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set importance_type = split - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,408 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb importance_type split {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split'}
2020-10-26 14:50:27,408 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set learning_rate = 0.0033500113093595796 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,408 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.0033500113093595796 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796}
2020-10-26 14:50:27,408 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set max_depth = -1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,409 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb max_depth -1 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1}
2020-10-26 14:50:27,409 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_child_samples = 15 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,409 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_child_samples 15 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15}
2020-10-26 14:50:27,409 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_child_weight = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,410 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_child_weight 0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0}
2020-10-26 14:50:27,410 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_split_gain = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,410 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_split_gain 0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0}
2020-10-26 14:50:27,410 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set n_estimators = 231 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,410 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb n_estimators 231 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231}
2020-10-26 14:50:27,411 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set n_jobs = -1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,411 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb n_jobs -1 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1}
2020-10-26 14:50:27,411 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set num_leaves = 35 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,411 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb num_leaves 35 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35}
2020-10-26 14:50:27,412 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set objective = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,412 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb objective None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35, 'objective': None}
2020-10-26 14:50:27,412 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set random_state = 2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,412 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb random_state 2 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 2}
2020-10-26 14:50:27,413 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set reg_alpha = 0.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,413 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb reg_alpha 0.0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0}
2020-10-26 14:50:27,413 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set reg_lambda = 0.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,413 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb reg_lambda 0.0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0}
2020-10-26 14:50:27,414 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set silent = True - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,414 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb silent True {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True}
2020-10-26 14:50:27,414 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set subsample = 0.01652182645734716 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,415 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb subsample 0.01652182645734716 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 0.01652182645734716}
2020-10-26 14:50:27,415 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set subsample_for_bin = 1000000 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,415 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb subsample_for_bin 1000000 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 0.01652182645734716, 'subsample_for_bin': 1000000}
2020-10-26 14:50:27,415 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set subsample_freq = 0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E83B9C40>>
2020-10-26 14:50:27,415 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb subsample_freq 0 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'boosting_type': 'dart', 'class_weight': {0: 1, 1: 85}, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0033500113093595796, 'max_depth': -1, 'min_child_samples': 15, 'min_child_weight': 0, 'min_split_gain': 0, 'n_estimators': 231, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 2, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 0.01652182645734716, 'subsample_for_bin': 1000000, 'subsample_freq': 0}
2020-10-26 14:50:27,416 INFO    MainThread:12940 [wandb_run.py:finish():988] finishing run srosy/runs-from-for-loop/2c1t3qcc
