2020-10-26 16:31:50,725 INFO    MainThread:23708 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_163150-2apzhv0y\logs\debug.log
2020-10-26 16:31:50,726 INFO    MainThread:23708 [wandb_init.py:_log_setup():294] Logging internal logs to wandb\run-20201026_163150-2apzhv0y\logs\debug-internal.log
2020-10-26 16:31:50,726 INFO    MainThread:23708 [wandb_setup.py:_flush():69] setting env: {}
2020-10-26 16:31:50,726 INFO    MainThread:23708 [wandb_setup.py:_flush():69] setting user settings: {'email': 'leshhuk3@gmail.com'}
2020-10-26 16:31:50,726 INFO    MainThread:23708 [wandb_setup.py:_flush():69] multiprocessing start_methods=spawn
2020-10-26 16:31:52,424 INFO    MainThread:23708 [wandb_run.py:_console_start():1290] atexit reg
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_run.py:_redirect():1160] redirect: SettingsConsole.WRAP
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_run.py:_redirect():1191] Wrapping output streams.
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_run.py:_redirect():1207] Redirects installed.
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set learning_rate = 0.3648923350415333 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.3648923350415333 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333}
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set depth = 3 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb depth 3 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3}
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set l2_leaf_reg = 26.479235719083498 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,430 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb l2_leaf_reg 26.479235719083498 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498}
2020-10-26 16:31:52,431 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set random_seed = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,431 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb random_seed 32 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498, 'random_seed': 32}
2020-10-26 16:31:52,431 INFO    MainThread:23708 [wandb_config.py:__setitem__():64] config set verbose = False - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000020274D11EB0>>
2020-10-26 16:31:52,431 INFO    MainThread:23708 [wandb_run.py:_config_callback():591] config_cb verbose False {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.3648923350415333, 'depth': 3, 'l2_leaf_reg': 26.479235719083498, 'random_seed': 32, 'verbose': False}
