2020-10-26 18:22:52,098 INFO    MainThread:23720 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_182252-37rxp2b1\logs\debug.log
2020-10-26 18:22:52,099 INFO    MainThread:23720 [wandb_init.py:_log_setup():294] Logging internal logs to wandb\run-20201026_182252-37rxp2b1\logs\debug-internal.log
2020-10-26 18:22:52,099 INFO    MainThread:23720 [wandb_setup.py:_flush():69] setting env: {}
2020-10-26 18:22:52,099 INFO    MainThread:23720 [wandb_setup.py:_flush():69] setting user settings: {'email': 'leshhuk3@gmail.com'}
2020-10-26 18:22:52,099 INFO    MainThread:23720 [wandb_setup.py:_flush():69] multiprocessing start_methods=spawn
2020-10-26 18:22:53,839 INFO    MainThread:23720 [wandb_run.py:_console_start():1290] atexit reg
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_run.py:_redirect():1160] redirect: SettingsConsole.WRAP
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_run.py:_redirect():1191] Wrapping output streams.
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_run.py:_redirect():1207] Redirects installed.
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set learning_rate = 0.29946275110968507 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.29946275110968507 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507}
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set depth = 6 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb depth 6 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6}
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set l2_leaf_reg = 12.988488864073794 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_run.py:_config_callback():591] config_cb l2_leaf_reg 12.988488864073794 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'learning_rate': 0.29946275110968507, 'depth': 6, 'l2_leaf_reg': 12.988488864073794}
2020-10-26 18:22:53,845 INFO    MainThread:23720 [wandb_config.py:__setitem__():64] config set random_seed = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x0000024C55F48040>>
