2020-10-26 12:44:04,402 INFO    MainThread:12940 [wandb_init.py:_log_setup():293] Logging user logs to wandb\run-20201026_124404-256yo8fi\logs\debug.log
2020-10-26 12:44:04,403 INFO    MainThread:12940 [wandb_init.py:_log_setup():294] Logging internal logs to wandb\run-20201026_124404-256yo8fi\logs\debug-internal.log
2020-10-26 12:44:04,403 INFO    MainThread:12940 [wandb_setup.py:_flush():69] setting env: {}
2020-10-26 12:44:04,403 INFO    MainThread:12940 [wandb_setup.py:_flush():69] setting user settings: {'email': 'leshhuk3@gmail.com'}
2020-10-26 12:44:04,403 INFO    MainThread:12940 [wandb_setup.py:_flush():69] multiprocessing start_methods=spawn
2020-10-26 12:44:06,073 INFO    MainThread:12940 [wandb_run.py:_console_start():1290] atexit reg
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_run.py:_redirect():1160] redirect: SettingsConsole.WRAP
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_run.py:_redirect():1191] Wrapping output streams.
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_run.py:_redirect():1207] Redirects installed.
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set objective = binary:logistic - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb objective binary:logistic {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic'}
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set base_score = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb base_score None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None}
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set booster = dart - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,074 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb booster dart {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart'}
2020-10-26 12:44:06,075 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bylevel = 0.8081737317661105 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,075 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bylevel 0.8081737317661105 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105}
2020-10-26 12:44:06,075 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bynode = 0.7186825609880308 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,075 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bynode 0.7186825609880308 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308}
2020-10-26 12:44:06,075 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set colsample_bytree = 0.9226989740761113 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,076 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb colsample_bytree 0.9226989740761113 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113}
2020-10-26 12:44:06,076 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set gamma = 3.215418144666804 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,076 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb gamma 3.215418144666804 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804}
2020-10-26 12:44:06,076 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set gpu_id = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,076 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb gpu_id None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None}
2020-10-26 12:44:06,077 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set importance_type = gain - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,077 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb importance_type gain {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain'}
2020-10-26 12:44:06,077 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set interaction_constraints = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,077 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb interaction_constraints None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None}
2020-10-26 12:44:06,078 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set learning_rate = 0.6326552279257602 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,078 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb learning_rate 0.6326552279257602 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.6326552279257602}
2020-10-26 12:44:06,078 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set max_delta_step = 37.83061385571028 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,078 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb max_delta_step 37.83061385571028 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.6326552279257602, 'max_delta_step': 37.83061385571028}
2020-10-26 12:44:06,079 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set max_depth = 2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,079 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb max_depth 2 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.6326552279257602, 'max_delta_step': 37.83061385571028, 'max_depth': 2}
2020-10-26 12:44:06,079 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set min_child_weight = 24.50782940358739 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,079 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb min_child_weight 24.50782940358739 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.6326552279257602, 'max_delta_step': 37.83061385571028, 'max_depth': 2, 'min_child_weight': 24.50782940358739}
2020-10-26 12:44:06,080 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set missing = nan - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,080 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb missing nan {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.6326552279257602, 'max_delta_step': 37.83061385571028, 'max_depth': 2, 'min_child_weight': 24.50782940358739, 'missing': nan}
2020-10-26 12:44:06,080 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set monotone_constraints = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,080 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb monotone_constraints None {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.6326552279257602, 'max_delta_step': 37.83061385571028, 'max_depth': 2, 'min_child_weight': 24.50782940358739, 'missing': nan, 'monotone_constraints': None}
2020-10-26 12:44:06,081 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set n_estimators = 100 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
2020-10-26 12:44:06,081 INFO    MainThread:12940 [wandb_run.py:_config_callback():591] config_cb n_estimators 100 {'_wandb': {'cli_version': '0.10.8', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'lightgbm'}, 'objective': 'binary:logistic', 'base_score': None, 'booster': 'dart', 'colsample_bylevel': 0.8081737317661105, 'colsample_bynode': 0.7186825609880308, 'colsample_bytree': 0.9226989740761113, 'gamma': 3.215418144666804, 'gpu_id': None, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.6326552279257602, 'max_delta_step': 37.83061385571028, 'max_depth': 2, 'min_child_weight': 24.50782940358739, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100}
2020-10-26 12:44:06,081 INFO    MainThread:12940 [wandb_config.py:__setitem__():64] config set n_jobs = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000208E35C84C0>>
